iter	Passed	Remaining
0	1	1275
1	2	1060
2	2	902
3	3	832
4	3	775
5	4	740
6	4	704
7	5	679
8	6	662
9	6	658
10	7	644
11	7	636
12	8	625
13	8	626
14	9	617
15	9	608
16	10	600
17	10	594
18	11	590
19	11	586
20	12	586
21	13	582
22	13	579
23	14	574
24	14	570
25	15	567
26	15	561
27	16	558
28	16	553
29	17	549
30	17	547
31	18	546
32	18	544
33	19	541
34	19	539
35	20	537
36	20	535
37	21	532
38	21	531
39	21	527
40	22	525
41	22	524
42	23	524
43	24	522
44	24	520
45	25	519
46	25	517
47	26	516
48	26	515
49	27	513
50	27	512
51	28	511
52	28	510
53	29	509
54	29	508
55	30	507
56	30	507
57	31	505
58	31	506
59	32	508
60	32	507
61	33	506
62	33	505
63	34	504
64	35	503
65	35	502
66	36	501
67	36	500
68	36	498
69	37	497
70	37	497
71	38	495
72	38	495
73	39	494
74	40	495
75	40	494
76	41	494
77	41	493
78	42	495
79	43	497
80	43	497
81	44	496
82	44	495
83	45	494
84	45	493
85	46	493
86	46	491
87	47	490
88	47	489
89	48	489
90	48	488
91	49	487
92	49	486
93	50	485
94	50	485
95	51	484
96	51	483
97	52	481
98	52	481
99	53	481
100	54	482
101	54	481
102	55	480
103	55	480
104	56	480
105	57	481
106	57	481
107	58	481
108	58	481
109	59	481
110	60	480
111	60	480
112	61	479
113	61	479
114	62	478
115	62	477
116	63	476
117	63	477
118	64	476
119	64	476
120	65	476
121	66	475
122	66	475
123	67	475
124	67	474
125	68	473
126	68	473
127	69	472
128	69	471
129	70	470
130	70	469
131	71	469
132	71	468
133	72	469
134	73	469
135	73	469
136	74	469
137	75	468
138	75	467
139	76	467
140	76	466
141	77	466
142	77	465
143	78	464
144	78	464
145	79	464
146	79	463
147	80	462
148	80	461
149	81	461
150	81	460
151	82	459
152	82	458
153	83	457
154	83	457
155	84	456
156	84	456
157	85	455
158	86	455
159	86	454
160	87	453
161	87	454
162	88	455
163	90	459
164	90	459
165	92	462
166	92	463
167	93	463
168	94	462
169	94	461
170	95	461
171	95	461
172	96	460
173	96	460
174	97	459
175	97	458
176	98	458
177	99	457
178	99	456
179	99	455
180	100	454
181	100	453
182	101	453
183	102	452
184	102	452
185	103	451
186	103	450
187	104	449
188	104	449
189	105	448
190	105	448
191	106	447
192	106	446
193	107	446
194	107	445
195	108	445
196	109	444
197	109	444
198	110	443
199	110	442
200	111	441
201	111	441
202	112	440
203	112	439
204	113	438
205	113	438
206	114	437
207	114	437
208	115	436
209	115	435
210	116	434
211	116	433
212	117	433
213	117	432
214	118	431
215	118	431
216	119	430
217	119	429
218	120	429
219	120	428
220	121	428
221	121	427
222	122	426
223	123	426
224	123	425
225	124	424
226	124	424
227	125	423
228	125	422
229	126	422
230	126	421
231	127	420
232	127	419
233	128	419
234	128	418
235	129	417
236	129	416
237	130	416
238	130	415
239	130	414
240	131	414
241	132	413
242	132	412
243	133	412
244	133	411
245	134	410
246	134	410
247	135	409
248	135	409
249	136	408
250	136	407
251	137	406
252	137	406
253	138	405
254	138	405
255	139	404
256	139	404
257	140	403
258	140	402
259	141	402
260	141	401
261	142	400
262	142	400
263	143	399
264	143	398
265	144	398
266	144	397
267	145	397
268	145	396
269	146	395
270	146	395
271	147	394
272	147	393
273	148	393
274	149	392
275	149	392
276	150	392
277	150	391
278	151	391
279	152	391
280	152	390
281	153	389
282	153	389
283	154	388
284	154	387
285	155	387
286	155	386
287	156	385
288	156	385
289	157	384
290	157	384
291	158	383
292	158	383
293	159	382
294	159	381
295	160	381
296	160	380
297	161	379
298	162	380
299	162	380
300	163	379
301	164	379
302	164	379
303	165	378
304	166	378
305	166	378
306	167	377
307	167	377
308	168	376
309	168	376
310	169	375
311	169	374
312	170	374
313	170	373
314	171	372
315	172	372
316	172	371
317	173	371
318	173	370
319	174	370
320	174	369
321	175	369
322	175	368
323	176	367
324	176	367
325	177	366
326	177	365
327	178	365
328	178	364
329	179	364
330	179	363
331	180	363
332	180	362
333	181	361
334	181	361
335	182	360
336	183	360
337	183	359
338	184	359
339	184	358
340	185	358
341	185	357
342	186	357
343	187	356
344	187	355
345	187	355
346	188	354
347	189	354
348	189	353
349	190	353
350	190	352
351	191	351
352	191	351
353	192	350
354	192	349
355	193	349
356	193	348
357	194	348
358	194	347
359	195	347
360	195	346
361	196	346
362	197	345
363	197	345
364	198	344
365	198	344
366	199	343
367	199	342
368	200	342
369	200	341
370	201	341
371	201	340
372	202	339
373	202	339
374	203	338
375	203	337
376	204	337
377	204	336
378	205	336
379	205	335
380	206	335
381	206	334
382	207	334
383	207	333
384	208	332
385	208	332
386	209	331
387	209	330
388	210	330
389	210	329
390	211	329
391	211	328
392	212	327
393	212	327
394	213	326
395	213	326
396	214	325
397	214	325
398	215	324
399	215	323
400	216	323
401	216	322
402	217	322
403	218	321
404	219	321
405	219	321
406	220	320
407	220	320
408	221	319
409	221	319
410	222	318
411	222	317
412	223	317
413	223	316
414	224	316
415	224	315
416	225	315
417	225	314
418	226	313
419	226	313
420	227	312
421	227	312
422	228	312
423	229	311
424	229	311
425	230	310
426	230	309
427	231	309
428	231	308
429	232	308
430	232	307
431	233	306
432	233	306
433	234	305
434	234	305
435	235	304
436	235	304
437	236	303
438	237	302
439	237	302
440	238	301
441	238	301
442	239	300
443	239	300
444	240	299
445	241	299
446	241	298
447	242	298
448	242	297
449	244	298
450	244	297
451	245	297
452	245	296
453	246	296
454	246	295
455	247	294
456	247	294
457	248	293
458	248	293
459	249	292
460	249	292
461	250	291
462	251	291
463	251	290
464	252	290
465	252	289
466	253	288
467	253	288
468	254	287
469	254	287
470	255	286
471	255	286
472	256	285
473	256	284
474	257	284
475	257	283
476	258	283
477	259	283
478	260	283
479	260	282
480	261	281
481	262	282
482	263	281
483	263	281
484	264	280
485	264	279
486	265	279
487	265	278
488	266	278
489	267	277
490	267	277
491	268	276
492	268	276
493	269	275
494	269	275
495	270	274
496	271	274
497	271	273
498	272	273
499	272	272
500	273	272
501	274	271
502	274	271
503	275	270
504	275	270
505	276	269
506	276	269
507	277	268
508	277	268
509	278	267
